Timestamp,Gender,Age,Status,Income,Frequency,Enjoyment,Time Spent,Outlet Proximity,Membership,Frequent Purchase,Avg Spend,Quality Rating,Price Range Rating,Sales Importance,Ambiance Rating,WiFi Rating,Service Rating,Meeting/Hangout Likelihood,Promotion Channels,Buying Intention,Calculated Age,Numerical Income
2019-10-01 13:53:05-08:00,Female,From 20 to 29,Self-employed,"Less than RM25,000",Rarely,take away,Below 30 minutes,within 1km,No,Cold drinks,Less than RM20,3,3,4,4,5,5,2,Social Media,Yes,24.5,25000.0
2019-10-01 13:55:52-08:00,Male,Below 20,Student,"Less than RM25,000",Rarely,dine in,Between 1 hour to 2 hours,more than 3km,No,Coffee,Less than RM20,5,2,3,4,4,3,5,Starbucks Website/Apps;Social Media,Yes,20.0,25000.0
2019-10-01 13:57:01-08:00,Male,From 20 to 29,Employed,"Less than RM25,000",Rarely,take away,Below 30 minutes,more than 3km,Yes,Cold drinks;Juices;Pastries,Around RM20 - RM40,4,4,4,4,4,4,4,In Store displays,Yes,24.5,25000.0
2019-10-01 14:00:32-08:00,Male,From 30 to 39,Employed,"RM50,000 - RM100,000",Rarely,take away,Below 30 minutes,within 1km,Yes,Coffee,Less than RM20,3,2,5,3,3,5,3,Starbucks Website/Apps;Social Media,Yes,34.5,75000.0
2019-10-01 14:03:08-08:00,Female,From 20 to 29,Employed,"RM25,000 - RM50,000",Never,take away,Below 30 minutes,1km - 3km,No,Coffee,Less than RM20,4,4,4,4,4,4,4,Social Media,Yes,24.5,37500.0
2019-10-01 14:06:24-08:00,Male,From 20 to 29,Employed,"Less than RM25,000",Monthly,dine in,Between 30 minutes to 1 hour,within 1km,Yes,Coffee,Around RM20 - RM40,5,4,5,5,3,5,5,Starbucks Website/Apps;Social Media,Yes,24.5,25000.0
2019-10-01 14:27:41-08:00,Female,From 20 to 29,Employed,"RM25,000 - RM50,000",Weekly,dine in,Between 30 minutes to 1 hour,within 1km,Yes,Coffee,Around RM20 - RM40,5,4,5,5,1,4,4,Social Media,Yes,24.5,37500.0
2019-10-01 14:35:40-08:00,Female,From 20 to 29,Employed,"Less than RM25,000",Monthly,take away,Below 30 minutes,more than 3km,No,Coffee;Pastries,Around RM20 - RM40,4,4,5,4,4,5,5,Starbucks Website/Apps;Social Media;Emails;Billboards,Yes,24.5,25000.0
2019-10-01 14:41:01-08:00,Female,Below 20,Student,"Less than RM25,000",Never,never,Below 30 minutes,1km - 3km,No,Coffee,Zero,3,3,3,3,3,3,3,Social Media,Yes,20.0,25000.0
2019-10-01 14:41:31-08:00,Female,From 30 to 39,Student,"RM50,000 - RM100,000",Rarely,take away,Below 30 minutes,1km - 3km,Yes,Coffee;Pastries,Around RM20 - RM40,5,3,4,3,4,4,4,Social Media,Yes,34.5,75000.0
